date,Month Day,Week day,Hour,Minute,DLR Open,DCA Open,DLR Close,DCA Close,Wait Ride 0,Open Ride 0,Wait Ride 1,Open Ride 1,Wait Ride 2,Open Ride 2,Wait Ride 3,Open Ride 3,Wait Ride 4,Open Ride 4
2018-11-01,14,4,13,45,8,8,23,20,22,1,16,1,37,1,25,1,53,1
2018-11-01,14,4,14,0,8,8,23,20,25,1,19,1,35,1,25,1,48,1
2018-11-01,14,4,14,15,8,8,23,20,26,1,22,1,39,1,31,1,53,1
2018-11-01,14,4,14,30,8,8,23,20,27,1,25,1,38,1,42,1,58,1
2018-11-01,14,4,14,45,8,8,23,20,28,1,16,1,37,1,54,1,57,1
2018-11-01,14,4,15,0,8,8,23,20,30,1,19,1,35,1,54,1,44,1
2018-11-01,14,4,15,15,8,8,23,20,29,1,22,1,39,1,41,1,49,1
2018-11-01,14,4,15,30,8,8,23,20,26,1,25,1,38,1,29,1,45,1
2018-11-01,14,4,15,45,8,8,23,20,25,1,23,1,37,1,17,1,41,1
2018-11-01,14,4,16,0,8,8,23,20,27,1,21,1,35,1,46,1,44,1
2018-11-01,14,4,16,15,8,8,23,20,28,1,23,1,38,1,35,1,36,1
2018-11-01,14,4,16,30,8,8,23,20,29,1,22,1,40,1,50,1,39,1
2018-11-01,14,4,16,45,8,8,23,20,29,1,23,1,43,1,59,1,41,1
2018-11-01,14,4,17,0,8,8,23,20,25,1,21,1,45,1,50,1,44,1
2018-11-01,14,4,17,15,8,8,23,20,21,1,19,1,45,1,44,1,39,1
2018-11-01,14,4,17,30,8,8,23,20,22,1,16,1,45,1,41,1,25,1
2018-11-01,14,4,17,45,8,8,23,20,25,1,14,1,27,1,38,1,20,1
2018-11-01,14,4,18,0,8,8,23,20,23,1,11,1,37,1,35,1,16,1
2018-11-01,14,4,18,15,8,8,23,20,21,1,11,1,42,1,43,1,11,1
2018-11-01,14,4,18,30,8,8,23,20,20,1,13,1,42,1,41,1,7,1
2018-11-01,14,4,18,45,8,8,23,20,20,1,14,1,36,1,36,1,5,1
2018-11-01,14,4,19,0,8,8,23,20,18,1,17,1,40,1,40,1,5,1
2018-11-01,14,4,19,15,8,8,23,20,17,1,20,1,40,1,39,1,5,1
2018-11-01,14,4,19,30,8,8,23,20,16,1,23,1,41,1,41,1,5,1
2018-11-01,14,4,19,45,8,8,23,20,18,1,23,1,47,1,36,1,5,1
2018-11-01,14,4,20,0,8,8,23,20,24,1,19,1,44,1,41,1,5,1
2018-11-01,14,4,20,15,8,8,23,20,22,1,15,1,37,1,63,1,5,1
2018-11-01,14,4,20,30,8,8,23,20,23,1,15,1,56,1,77,1,5,1
