year,month,date,dlr_open,dca_open,dlr_close,dca_close,weather_daily_tempHigh,weather_daily_tempLow,weather_daily_precip,parkPopulation
2018,8,24,9,9,23,22,82.78,67.93,0,184
2018,8,25,8,8,0,22,82.94,68.16,0,296
2018,8,26,10,10,0,22,83.3,66.76,0,237
2018,8,27,9,9,22,21,81.82,65.77,0,266
2018,8,28,9,9,22,21,82.72,66.88,0,212
2018,8,29,9,9,22,21,87.19,65.47,0,204
2018,8,30,9,9,22,21,89.46,65.25,0,201
2018,8,31,9,9,0,22,84.99,67.46,0,155
2018,9,1,9,9,0,22,80.81,68.25,0,266
2018,9,2,9,9,0,22,79.94,68.25,0,295
2018,9,3,8,8,23,22,81.29,69.46,0,240
2018,9,4,10,10,21,20,79.51,68.1,0,218
2018,9,5,10,10,20,20,81.09,65.34,0,164
2018,9,6,10,10,20,20,81.15,65.38,0,189
2018,9,7,9,9,0,22,87.23,65.55,0,251
2018,9,8,9,9,0,22,92.48,66.58,0,227
2018,9,9,8,8,0,22,90.42,66.04,0,189
2018,9,10,9,9,22,21,86.02,65.11,0,252
2018,9,11,9,9,21,21,82.59,65.26,0,222
2018,9,12,9,9,21,21,83.56,64.59,0,206
2018,9,13,9,9,21,17,88.83,66.08,0,274
2018,9,14,9,9,0,22,94.18,65.62,0,240
2018,9,15,8,8,0,22,87.09,65.09,0,260
2018,9,16,8,8,23,22,88.01,63.98,0,222
2018,9,17,9,9,20,20,88.47,62.22,0,255
2018,9,18,9,9,21,20,85.31,61.12,0,256
2018,9,19,8,8,18,20,83.18,63.64,0,220
2018,9,20,9,9,21,20,81.74,64,0,305
2018,9,21,8,8,19,23,82.62,64.4,0,236
2018,9,22,8,8,0,22,88.15,65.6,0,365
2018,9,23,8,8,23,22,82.3,64.66,0,267
2018,9,24,8,8,18,20,77.42,64.13,0,180
2018,9,25,9,9,22,20,76.95,62.41,0,274
2018,9,26,8,8,18,20,83.78,64.91,0,134
2018,9,27,9,9,22,20,85.97,65.31,0,280
2018,9,28,8,8,19,23,81.49,65.42,0,250
2018,9,29,8,8,0,22,81.38,62.83,0,390
2018,9,30,8,8,0,22,85.43,68.83,0,255
