year,month,day_of_month,day_of_week,hour_of_day,minute,dlr_open,dca_open,dlr_close,dca_close,ride-0,wait-0,open-0,ride-1,wait-1,open-1,ride-2,wait-2,open-2,ride-3,wait-3,open-3,ride-4,wait-4,open-4
2017, 11, 18, 7, 12, 0, 08, 08, 00, 22, 353405, 39, 1, 353293, 17, 1, 353347, 43, 1, 353435, 60, 1, 353437, 43, 1
2017, 11, 18, 7, 12, 15, 08, 08, 00, 22, 353405, 33, 1, 353293, 18, 1, 353347, 44, 1, 353435, 55, 1, 353437, 48, 1
2017, 11, 18, 7, 12, 30, 08, 08, 00, 22, 353405, 42, 1, 353293, 20, 1, 353347, 42, 1, 353435, 46, 1, 353437, 57, 1
2017, 11, 18, 7, 12, 45, 08, 08, 00, 22, 353405, 45, 1, 353293, 19, 1, 353347, 40, 1, 353435, 45, 1, 353437, 53, 1
2017, 11, 18, 7, 13, 0, 08, 08, 00, 22, 353405, 45, 1, 353293, 17, 1, 353347, 42, 1, 353435, 51, 1, 353437, 72, 1
2017, 11, 18, 7, 13, 15, 08, 08, 00, 22, 353405, 38, 1, 353293, 16, 1, 353347, 44, 1, 353435, 57, 1, 353437, 90, 1
2017, 11, 18, 7, 13, 30, 08, 08, 00, 22, 353405, 40, 1, 353293, 17, 1, 353347, 42, 1, 353435, 67, 1, 353437, 80, 1
2017, 11, 18, 7, 13, 45, 08, 08, 00, 22, 353405, 36, 1, 353293, 19, 1, 353347, 40, 1, 353435, 60, 1, 353437, 78, 1
2017, 11, 18, 7, 14, 0, 08, 08, 00, 22, 353405, 32, 1, 353293, 17, 1, 353347, 29, 1, 353435, 60, 1, 353437, 76, 1
2017, 11, 18, 7, 14, 15, 08, 08, 00, 22, 353405, 38, 1, 353293, 16, 1, 353347, 67, 1, 353435, 60, 1, 353437, 70, 1
2017, 11, 18, 7, 14, 30, 08, 08, 00, 22, 353405, 40, 1, 353293, 11, 1, 353347, 62, 1, 353435, 60, 1, 353437, 61, 1
2017, 11, 18, 7, 14, 45, 08, 08, 00, 22, 353405, 36, 1, 353293, 12, 1, 353347, 53, 1, 353435, 60, 1, 353437, 50, 1
2017, 11, 18, 7, 15, 0, 08, 08, 00, 22, 353405, 32, 1, 353293, 10, 1, 353347, 32, 1, 353435, 60, 1, 353437, 43, 1
2017, 11, 18, 7, 15, 15, 08, 08, 00, 22, 353405, 38, 1, 353293, 8, 1, 353347, 30, 1, 353435, 56, 1, 353437, 35, 1
2017, 11, 18, 7, 15, 30, 08, 08, 00, 22, 353405, 25, 1, 353293, 11, 1, 353347, 45, 1, 353435, 52, 1, 353437, 43, 1
2017, 11, 18, 7, 15, 45, 08, 08, 00, 22, 353405, 25, 1, 353293, 6, 1, 353347, 51, 1, 353435, 48, 1, 353437, 50, 1
2017, 11, 18, 7, 16, 0, 08, 08, 00, 22, 353405, 25, 1, 353293, 10, 1, 353347, 36, 1, 353435, 47, 1, 353437, 43, 1
2017, 11, 18, 7, 16, 15, 08, 08, 00, 22, 353405, 25, 1, 353293, 12, 1, 353347, 44, 1, 353435, 56, 1, 353437, 35, 1
2017, 11, 18, 7, 16, 30, 08, 08, 00, 22, 353405, 25, 1, 353293, 13, 1, 353347, 61, 1, 353435, 60, 1, 353437, 43, 1
2017, 11, 18, 7, 16, 45, 08, 08, 00, 22, 353405, 25, 1, 353293, 15, 1, 353347, 83, 1, 353435, 59, 1, 353437, 50, 1
2017, 11, 18, 7, 17, 0, 08, 08, 00, 22, 353405, 25, 1, 353293, 19, 1, 353347, 94, 1, 353435, 53, 1, 353437, 43, 1
2017, 11, 18, 7, 17, 15, 08, 08, 00, 22, 353405, 25, 1, 353293, 18, 1, 353347, 59, 1, 353435, 47, 1, 353437, 35, 1
2017, 11, 18, 7, 17, 30, 08, 08, 00, 22, 353405, 25, 1, 353293, 18, 1, 353347, 40, 1, 353435, 59, 1, 353437, 20, 1
2017, 11, 18, 7, 17, 45, 08, 08, 00, 22, 353405, 25, 1, 353293, 18, 1, 353347, 40, 1, 353435, 70, 1, 353437, 17, 1
2017, 11, 18, 7, 18, 0, 08, 08, 00, 22, 353405, 25, 1, 353293, 17, 1, 353347, 40, 1, 353435, 70, 1, 353437, 15, 1
2017, 11, 18, 7, 18, 15, 08, 08, 00, 22, 353405, 25, 1, 353293, 18, 1, 353347, 43, 1, 353435, 70, 1, 353437, 12, 1
2017, 11, 18, 7, 18, 30, 08, 08, 00, 22, 353405, 25, 1, 353293, 18, 1, 353347, 46, 1, 353435, 72, 1, 353437, 10, 1
2017, 11, 18, 7, 18, 45, 08, 08, 00, 22, 353405, 25, 1, 353293, 18, 1, 353347, 49, 1, 353435, 74, 1, 353437, 10, 1
2017, 11, 18, 7, 19, 0, 08, 08, 00, 22, 353405, 25, 1, 353293, 17, 1, 353347, 64, 1, 353435, 76, 1, 353437, 10, 1
2017, 11, 18, 7, 19, 15, 08, 08, 00, 22, 353405, 25, 1, 353293, 18, 1, 353347, 55, 1, 353435, 78, 1, 353437, 10, 1
2017, 11, 18, 7, 19, 30, 08, 08, 00, 22, 353405, 25, 1, 353293, 18, 1, 353347, 46, 1, 353435, 82, 1, 353437, 10, 1
2017, 11, 18, 7, 19, 45, 08, 08, 00, 22, 353405, 25, 1, 353293, 18, 1, 353347, 37, 1, 353435, 77, 1, 353437, 10, 1
2017, 11, 18, 7, 20, 0, 08, 08, 00, 22, 353405, 25, 1, 353293, 17, 1, 353347, 27, 1, 353435, 67, 1, 353437, 10, 1
2017, 11, 18, 7, 20, 15, 08, 08, 00, 22, 353405, 25, 1, 353293, 18, 1, 353347, 37, 1, 353435, 50, 1, 353437, 10, 1
2017, 11, 18, 7, 20, 30, 08, 08, 00, 22, 353405, 25, 1, 353293, 18, 1, 353347, 65, 1, 353435, 50, 1, 353437, 10, 1
2017, 11, 18, 7, 20, 45, 08, 08, 00, 22, 353405, 25, 1, 353293, 18, 1, 353347, 51, 1, 353435, 50, 1, 353437, 10, 1
2017, 11, 18, 7, 21, 0, 08, 08, 00, 22, 353405, 25, 1, 353293, 17, 1, 353347, 56, 1, 353435, 45, 1, 353437, 10, 1
2017, 11, 18, 7, 21, 15, 08, 08, 00, 22, 353405, 25, 1, 353293, 18, 1, 353347, 60, 1, 353435, 43, 1, 353437, 10, 1
2017, 11, 18, 7, 21, 30, 08, 08, 00, 22, 353405, 25, 1, 353293, 14, 1, 353347, 65, 1, 353435, 61, 1, 353437, 10, 1
2017, 11, 18, 7, 21, 45, 08, 08, 00, 22, 353405, 25, 1, 353293, 9, 1, 353347, 32, 1, 353435, 73, 1, 353437, 10, 1
2017, 11, 18, 7, 22, 0, 08, 08, 00, 22, 353405, 25, 1, 353293, 5, 1, 353347, 48, 1, 353435, 66, 1, 353437, 10, 1
2017, 11, 18, 7, 22, 15, 08, 08, 00, 22, 353405, 25, 1, 353293, 8, 1, 353347, 25, 1, 353435, 59, 1, 353437, 10, 1
2017, 11, 18, 7, 22, 30, 08, 08, 00, 22, 353405, 25, 1, 353293, 10, 1, 353347, 19, 1, 353435, 54, 1, 353437, 10, 1
